Index	higherClassification
Bacteria	.*?\|Babeliae\|.*?
Angiosperms	.*?\|Baccharis\|.*?
Angiosperms	.*?\|Baccharites\|.*?
Angiosperms	.*?\|Baccites\|.*?
Bryophytes	.*?\|Bachtia\|.*?
Protists	.*?\|Bacillariophyceae\|.*?
Protists	.*?\|Bacillariophyta\|.*?
Plants	.*?\|Bacillarites\|.*?
Bacteria	.*?\|Bacillati\|.*?
Chlorophyta	.*?\|Bacinellacodium\|.*?
Bacteria	.*?\|Bacteria incertae sedis\|.*?
Bacteria	.*?\|Bacteria\|(.*?\|)?Atheia\|.*?
Bacteria	.*?\|Bacteria\|(.*?\|)?Streptothrix\|.*?
Bacteria	.*?\|Bacterium\|.*?
Bacteria	.*?\|Bacteroidetes\|.*?
Bacteria	.*?\|Bacteroidota\|.*?
Plants	.*?\|Baculareticulosporis\|.*?
Viruses	.*?\|Baculoviridae\|.*?
Lepidoptera	.*?\|Baeotis\|.*?
Gymnosperms	.*?\|Baierella\|.*?
Plants	.*?\|Baieridium\|.*?
Insecta	.*?\|Baissomantidae\|.*?
Bryophytes	.*?\|Bajdaievia\|.*?
Pteridophytes	.*?\|Bajera\|.*?
Angiosperms	.*?\|Balanophoraceae\|.*?
Bryophytes	.*?\|Balantiopsidaceae\|.*?
Angiosperms	.*?\|Ballota\|.*?
Angiosperms	.*?\|Balsaminaceae\|.*?
Viruses	.*?\|Bamfordvirae\|.*?
Rhodophyta	.*?\|Bangiophyceae\|.*?
Plants	.*?\|Banksiphyllum\|.*?
Plants	.*?\|Baptisiaecarpum\|.*?
Plants	.*?\|Barakarites\|.*?
Actinopterygii	.*?\|Barbatus\|.*?
Lepidoptera	.*?\|Barbicornis\|.*?
Actinopterygii	.*?\|Barbus\|.*?
Coleoptera	.*?\|Bargus\|.*?
Pteridophytes	.*?\|Barinostrobus\|.*?
Angiosperms	.*?\|Barleria\|.*?
Viruses	.*?\|Barnaviridae\|.*?
Pteridophytes	.*?\|Barrandeinopsis\|.*?
Angiosperms	.*?\|Barreria\|.*?
Protists	.*?\|Bartenia\|.*?
Bryophytes	.*?\|Bartramiaceae\|.*?
Angiosperms	.*?\|Bartsia\|.*?
Insecta	.*?\|Baryshnyalidae\|.*?
Angiosperms	.*?\|Basella\|.*?
Angiosperms	.*?\|Basellaceae\|.*?
Fungi	.*?\|Basidiomycota\|.*?
Protists	.*?\|Basidiophora\|.*?
Angiosperms	.*?\|Bataceae\|.*?
Actinopterygii	.*?\|Batrachoidiformes\|.*?
Insecta	.*?\|Bechalidae\|.*?
Plants	.*?\|Bechera\|.*?
Plants	.*?\|Becklesia\|.*?
Angiosperms	.*?\|Begoniaceae\|.*?
Insecta	.*?\|Belebeus\|.*?
Angiosperms	.*?\|Bellis\|.*?
Gastropoda	.*?\|Belocaulus\|.*?
Actinopterygii	.*?\|Beloniformes\|.*?
Gymnosperms	.*?\|Belonodendron\|.*?
Plants	.*?\|Bembergia\|.*?
Arthropoda	.*?\|Bembicosoma\|.*?
Pteridophytes	.*?\|Benlightfootia\|.*?
Gymnosperms	.*?\|Bennettitanthus\|.*?
Pteridophytes	.*?\|Bensonites\|.*?
Plants	.*?\|Benthamiphyllum\|.*?
Viruses	.*?\|Benyvirus\|.*?
Angiosperms	.*?\|Berberidaceae\|.*?
Pteridophytes	.*?\|Bergiopteris\|.*?
Animals	.*?\|Beroida\|.*?
Actinopterygii	.*?\|Beryciformes\|.*?
Angiosperms	.*?\|Besleria\|.*?
Protists	.*?\|Besnoitia\|.*?
Viruses	.*?\|Betaflexiviridae\|.*?
Angiosperms	.*?\|Betonica\|.*?
Plants	.*?\|Betulinium\|.*?
Plants	.*?\|Beuttneriophyllum\|.*?
Plants	.*?\|Bharadwajiapollis\|.*?
Plants	.*?\|Bhujiasporites\|.*?
Diptera	.*?\|Bibionidae\|.*?
