string	value	value uri	predicate	predicate uri
mountain mixed forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain oak forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain pasture	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain peak	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain primary forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain rain forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain rainforest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain range	mountain range	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain ravine	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain savanna	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain shrubland	mountain shrubland	http://purl.obolibrary.org/obo/ENVO_01000216	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain side	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain slope	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain species	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain steppe	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain stony steppe	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain stony tundra	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain stream habitat	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain summit	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain top	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain tundra	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain valley	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain virgin mixed forest	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain wetland	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain woodland	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain woods	montane forest	http://purl.obolibrary.org/obo/ENVO_01000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain zone	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountain-steppe	montane grassland	http://purl.obolibrary.org/obo/ENVO_01000194	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountains at elevation	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mountains slope	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
mud volcano	mud volcano	http://purl.obolibrary.org/obo/ENVO_00000402	habitat	http://purl.obolibrary.org/obo/RO_0002303
muddy soil	muddy soil	http://purl.obolibrary.org/obo/ENVO_00005771	habitat	http://purl.obolibrary.org/obo/RO_0002303
muddy water	muddy water	http://purl.obolibrary.org/obo/ENVO_00005793	habitat	http://purl.obolibrary.org/obo/RO_0002303
mudflat	mudflat	http://purl.obolibrary.org/obo/ENVO_00000192	habitat	http://purl.obolibrary.org/obo/RO_0002303
mulga scrub	shrubland	http://purl.obolibrary.org/obo/ENVO_01000176	habitat	http://purl.obolibrary.org/obo/RO_0002303
mussel reef	mussel reef	http://purl.obolibrary.org/obo/ENVO_01001386	habitat	http://purl.obolibrary.org/obo/RO_0002303
