string	value	value uri	predicate	predicate uri
native to the mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
native to the northern coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
native to the pacific coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
native to the south coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
native to the southern coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
native to the western coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
natural harbor	natural harbor	http://purl.obolibrary.org/obo/ENVO_00000465	habitat	http://purl.obolibrary.org/obo/RO_0002303
near a cold stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near a little stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near a rocky stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near a small forest stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near a small stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near a stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near creek	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near fast-flowing small stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near fast-flowing stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near forest stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near freshwater stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near lakes and stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near lakes stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near mountain stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near mountain streams	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
near mountain summit	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
near permanent stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near river	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near rocky stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near slow-flowing stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near slow-moving stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near small forest stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near small river	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near small stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near stream bed	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near swamps and streams	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near swift-flowing stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near temporary stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near the stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
near to stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
neritic pelagic zone	neritic pelagic zone	http://purl.obolibrary.org/obo/ENVO_01000032	habitat	http://purl.obolibrary.org/obo/RO_0002303
neritic zone	neritic zone	http://purl.obolibrary.org/obo/ENVO_00000206	habitat	http://purl.obolibrary.org/obo/RO_0002303
netted across a small stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
next to a stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
next to stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
nocturnal	nocturnal	http://www.wikidata.org/entity/Q309179	behavioral circadian rhythm	http://purl.obolibrary.org/obo/VT_0001502
nunatak	nunatak	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
oak woodland	oak woodland	http://purl.obolibrary.org/obo/ENVO_01000239	habitat	http://purl.obolibrary.org/obo/RO_0002303
occupies montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
occur in alpine habitat	alpine	http://purl.obolibrary.org/obo/ENVO_01000340	habitat	http://purl.obolibrary.org/obo/RO_0002303
occur in montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
occur in mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
occurring in mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
occurs in montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
occurs in mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
occurs only in lake	lake	http://purl.obolibrary.org/obo/ENVO_01000252	habitat	http://purl.obolibrary.org/obo/RO_0002303
oceanic bathypelagic zone	oceanic bathypelagic zone	http://purl.obolibrary.org/obo/ENVO_01000037	habitat	http://purl.obolibrary.org/obo/RO_0002303
oceanic benthopelagic zone	oceanic benthopelagic zone	http://purl.obolibrary.org/obo/ENVO_01000040	habitat	http://purl.obolibrary.org/obo/RO_0002303
oceanic front	marine	http://purl.obolibrary.org/obo/ENVO_00000447	habitat	http://purl.obolibrary.org/obo/RO_0002303
oceanic island	oceanic island	http://purl.obolibrary.org/obo/ENVO_00000222	habitat	http://purl.obolibrary.org/obo/RO_0002303
oceanic pelagic zone	oceanic pelagic zone	http://purl.obolibrary.org/obo/ENVO_01000023	habitat	http://purl.obolibrary.org/obo/RO_0002303
oceanic zone	marine	http://purl.obolibrary.org/obo/ENVO_00000447	habitat	http://purl.obolibrary.org/obo/RO_0002303
of hill stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the Atlantic coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the east coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the eastern coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the Mediterranean coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the north coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the northern coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the Pacific coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the southern coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the west coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
off the western coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
oligotrophic water	oligotrophic water	http://purl.obolibrary.org/obo/ENVO_00002223	habitat	http://purl.obolibrary.org/obo/RO_0002303
on bank of small stream	stream bank	http://purl.obolibrary.org/obo/ENVO_00000142	habitat	http://purl.obolibrary.org/obo/RO_0002303
only from the Gongga mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
only in mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
open water	aquatic	http://purl.obolibrary.org/obo/ENVO_00002030	habitat	http://purl.obolibrary.org/obo/RO_0002303
order stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
organic matter fall	organic matter fall	http://purl.obolibrary.org/obo/ENVO_01000137	habitat	http://purl.obolibrary.org/obo/RO_0002303
organic waste	organic waste	http://purl.obolibrary.org/obo/ENVO_01000373	habitat	http://purl.obolibrary.org/obo/RO_0002303
outwash fan	outwash fan	http://purl.obolibrary.org/obo/ENVO_00000434	habitat	http://purl.obolibrary.org/obo/RO_0002303
over a slow flowing stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
over small stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
over stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
overhanging stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
oviparous	oviparous	http://www.marinespecies.org/traits/Oviparous	reproduction	http://purl.obolibrary.org/obo/GO_0000003
ovoviviparous	ovoviviparous	http://www.marinespecies.org/traits/Ovoviviparous	reproduction	http://purl.obolibrary.org/obo/GO_0000003
oxbow lake	oxbow lake	http://purl.obolibrary.org/obo/ENVO_00000202	habitat	http://purl.obolibrary.org/obo/RO_0002303
palm grove	tropical woodland	http://purl.obolibrary.org/obo/ENVO_01000220	habitat	http://purl.obolibrary.org/obo/RO_0002303
palsa	palsa	http://purl.obolibrary.org/obo/ENVO_00000489	habitat	http://purl.obolibrary.org/obo/RO_0002303
pantropical montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
part of stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
parts of river	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
parts of stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
peat cut	peat cut	http://purl.obolibrary.org/obo/ENVO_00000157	habitat	http://purl.obolibrary.org/obo/RO_0002303
peat soil	peat soil	http://purl.obolibrary.org/obo/ENVO_00005774	habitat	http://purl.obolibrary.org/obo/RO_0002303
peat swamp	peat swamp	http://purl.obolibrary.org/obo/ENVO_00000189	habitat	http://purl.obolibrary.org/obo/RO_0002303
peatland	peatland	http://purl.obolibrary.org/obo/ENVO_00000044	habitat	http://purl.obolibrary.org/obo/RO_0002303
pebble sediment	pebble sediment	http://purl.obolibrary.org/obo/ENVO_01000116	habitat	http://purl.obolibrary.org/obo/RO_0002303
pelagic zone	pelagic zone	http://purl.obolibrary.org/obo/ENVO_01000023	habitat	http://purl.obolibrary.org/obo/RO_0002303
perennial	perennial	https://www.wikidata.org/entity/Q157957	life cycle habit	http://purl.obolibrary.org/obo/TO_0002725
perennial alpine plant	alpine	http://purl.obolibrary.org/obo/ENVO_01000340	habitat	http://purl.obolibrary.org/obo/RO_0002303
phaeozem	phaeozem	http://purl.obolibrary.org/obo/ENVO_00002249	habitat	http://purl.obolibrary.org/obo/RO_0002303
photic zone	photic zone	http://purl.obolibrary.org/obo/ENVO_00000209	habitat	http://purl.obolibrary.org/obo/RO_0002303
phreatic zone	phreatic zone	http://purl.obolibrary.org/obo/ENVO_00000329	habitat	http://purl.obolibrary.org/obo/RO_0002303
pine grove	coniferous forest	http://purl.obolibrary.org/obo/ENVO_01000196	habitat	http://purl.obolibrary.org/obo/RO_0002303
pinegrove	coniferous forest	http://purl.obolibrary.org/obo/ENVO_01000196	habitat	http://purl.obolibrary.org/obo/RO_0002303
pinyon juniper woodland	pinyon juniper woodland	http://purl.obolibrary.org/obo/ENVO_01000244	habitat	http://purl.obolibrary.org/obo/RO_0002303
plant litter	plant litter	http://purl.obolibrary.org/obo/ENVO_01000628	habitat	http://purl.obolibrary.org/obo/RO_0002303
podzol	podzol	http://purl.obolibrary.org/obo/ENVO_00002257	habitat	http://purl.obolibrary.org/obo/RO_0002303
polar	polar	http://purl.obolibrary.org/obo/ENVO_01000339	habitat	http://purl.obolibrary.org/obo/RO_0002303
polar desert	polar desert	http://purl.obolibrary.org/obo/ENVO_01000186	habitat	http://purl.obolibrary.org/obo/RO_0002303
polder	polder	http://purl.obolibrary.org/obo/ENVO_00000286	habitat	http://purl.obolibrary.org/obo/RO_0002303
polje	polje	http://purl.obolibrary.org/obo/ENVO_00000325	habitat	http://purl.obolibrary.org/obo/RO_0002303
polyandrous	polyandrous	http://purl.obolibrary.org/obo/ECOCORE_00000064	mating system	http://eol.org/schema/terms/MatingSystem
polygynous	polygynous	http://purl.obolibrary.org/obo/ECOCORE_00000065	mating system	http://eol.org/schema/terms/MatingSystem
polymetallic nodule	polymetallic nodule	http://purl.obolibrary.org/obo/ENVO_01000112	habitat	http://purl.obolibrary.org/obo/RO_0002303
polynya	polynya	http://purl.obolibrary.org/obo/ENVO_00000484	habitat	http://purl.obolibrary.org/obo/RO_0002303
pond	pond	http://purl.obolibrary.org/obo/ENVO_00000033	habitat	http://purl.obolibrary.org/obo/RO_0002303
pond bed	pond bed	http://purl.obolibrary.org/obo/ENVO_00000512	habitat	http://purl.obolibrary.org/obo/RO_0002303
prairie	prairie	http://purl.obolibrary.org/obo/ENVO_00000260	habitat	http://purl.obolibrary.org/obo/RO_0002303
precocial	precocial	http://eol.org/schema/terms/precocial	developmental mode	http://eol.org/schema/terms/DevelopmentalMode
prefer rocky stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
prefer stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
preference for stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
prefers alpine	alpine	http://purl.obolibrary.org/obo/ENVO_01000340	habitat	http://purl.obolibrary.org/obo/RO_0002303
prefers small stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
prefers stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
primarily montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
proglacial lake	proglacial lake	http://purl.obolibrary.org/obo/ENVO_00000435	habitat	http://purl.obolibrary.org/obo/RO_0002303
proximity to stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
rain forest	rainforest	https://www.wikidata.org/entity/Q9444	habitat	http://purl.obolibrary.org/obo/RO_0002303
rainforest	rainforest	https://www.wikidata.org/entity/Q9444	habitat	http://purl.obolibrary.org/obo/RO_0002303
raised mire	raised mire	http://purl.obolibrary.org/obo/ENVO_00000185	habitat	http://purl.obolibrary.org/obo/RO_0002303
rapids	rapids	http://purl.obolibrary.org/obo/ENVO_00000034	habitat	http://purl.obolibrary.org/obo/RO_0002303
rare montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
reaches of river	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
reaches of small stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
recorded from a stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
recorded from stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
recorded in montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
red soil	red soil	http://purl.obolibrary.org/obo/ENVO_00005790	habitat	http://purl.obolibrary.org/obo/RO_0002303
reforested area	forest	http://purl.obolibrary.org/obo/ENVO_01000174	habitat	http://purl.obolibrary.org/obo/RO_0002303
regosol	regosol	http://purl.obolibrary.org/obo/ENVO_00002256	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to a few mountains	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to a single mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to a single stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to hill stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to montane	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to mountains	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the Andes mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the atlantic coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the caribbean coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the central coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the eastern coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the pacific coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the southern coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the west coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
restricted to the western coast	coast	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
riffle	riffle	http://purl.obolibrary.org/obo/ENVO_00000148	habitat	http://purl.obolibrary.org/obo/RO_0002303
rift lake	rift lake	http://purl.obolibrary.org/obo/ENVO_00000203	habitat	http://purl.obolibrary.org/obo/RO_0002303
riparian area	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
river bank	river bank	http://purl.obolibrary.org/obo/ENVO_00000143	habitat	http://purl.obolibrary.org/obo/RO_0002303
river bed	river bed	http://purl.obolibrary.org/obo/ENVO_00000384	habitat	http://purl.obolibrary.org/obo/RO_0002303
river island	river island	http://purl.obolibrary.org/obo/ENVO_00000423	habitat	http://purl.obolibrary.org/obo/RO_0002303
river margin	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
river mouth	river mouth	http://purl.obolibrary.org/obo/ENVO_00000386	habitat	http://purl.obolibrary.org/obo/RO_0002303
river valley	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
riverbank	river bank	http://purl.obolibrary.org/obo/ENVO_00000143	habitat	http://purl.obolibrary.org/obo/RO_0002303
rocks in a stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
rocky desert	rocky desert	http://purl.obolibrary.org/obo/ENVO_00000173	habitat	http://purl.obolibrary.org/obo/RO_0002303
rocky sand	rocky sand	http://purl.obolibrary.org/obo/ENVO_00005799	habitat	http://purl.obolibrary.org/obo/RO_0002303
sabkha	sabkha	http://purl.obolibrary.org/obo/ENVO_00000151	habitat	http://purl.obolibrary.org/obo/RO_0002303
sage brush	shrubland	http://purl.obolibrary.org/obo/ENVO_01000176	habitat	http://purl.obolibrary.org/obo/RO_0002303
sage-brush	shrubland	http://purl.obolibrary.org/obo/ENVO_01000176	habitat	http://purl.obolibrary.org/obo/RO_0002303
sagebrush	shrubland	http://purl.obolibrary.org/obo/ENVO_01000176	habitat	http://purl.obolibrary.org/obo/RO_0002303
saline lake	saline lake	http://purl.obolibrary.org/obo/ENVO_00000019	habitat	http://purl.obolibrary.org/obo/RO_0002303
saline marsh	marine salt marsh biome	http://purl.obolibrary.org/obo/ENVO_01000022	habitat	http://purl.obolibrary.org/obo/RO_0002303
saline pan	saline pan	http://purl.obolibrary.org/obo/ENVO_00000279	habitat	http://purl.obolibrary.org/obo/RO_0002303
saline water	saline water	http://purl.obolibrary.org/obo/ENVO_00002010	habitat	http://purl.obolibrary.org/obo/RO_0002303
saline water environment	saline water environment	http://purl.obolibrary.org/obo/ENVO_00002010	habitat	http://purl.obolibrary.org/obo/RO_0002303
saline wetland	saline wetland	http://purl.obolibrary.org/obo/ENVO_00000240	habitat	http://purl.obolibrary.org/obo/RO_0002303
salt marsh	marine salt marsh biome	http://purl.obolibrary.org/obo/ENVO_01000022	habitat	http://purl.obolibrary.org/obo/RO_0002303
sand banks of mangrove stream	stream bank	http://purl.obolibrary.org/obo/ENVO_00000142	habitat	http://purl.obolibrary.org/obo/RO_0002303
sandstone mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
sandur	sandur	http://purl.obolibrary.org/obo/ENVO_00000312	habitat	http://purl.obolibrary.org/obo/RO_0002303
sandy beach	sandy beach	http://purl.obolibrary.org/obo/ENVO_00002199	habitat	http://purl.obolibrary.org/obo/RO_0002303
sandy desert	sandy desert	http://purl.obolibrary.org/obo/ENVO_00000172	habitat	http://purl.obolibrary.org/obo/RO_0002303
sandy sediment	sandy sediment	http://purl.obolibrary.org/obo/ENVO_01000118	habitat	http://purl.obolibrary.org/obo/RO_0002303
sandy soil	sandy soil	http://purl.obolibrary.org/obo/ENVO_00002229	habitat	http://purl.obolibrary.org/obo/RO_0002303
savanna	savanna	http://purl.obolibrary.org/obo/ENVO_01000178	habitat	http://purl.obolibrary.org/obo/RO_0002303
savanna soil	savanna soil	http://purl.obolibrary.org/obo/ENVO_00005746	habitat	http://purl.obolibrary.org/obo/RO_0002303
scrubland	scrubland	http://purl.obolibrary.org/obo/ENVO_00000300	habitat	http://purl.obolibrary.org/obo/RO_0002303
sea cave	sea cave	http://purl.obolibrary.org/obo/ENVO_00000326	habitat	http://purl.obolibrary.org/obo/RO_0002303
sea grass bed	sea grass bed	http://purl.obolibrary.org/obo/ENVO_01000059	habitat	http://purl.obolibrary.org/obo/RO_0002303
sea shore	sea shore	http://purl.obolibrary.org/obo/ENVO_01000687	habitat	http://purl.obolibrary.org/obo/RO_0002303
sea vent	hydrothermal vent	http://purl.obolibrary.org/obo/ENVO_01000030	habitat	http://purl.obolibrary.org/obo/RO_0002303
sea-way	marine	http://purl.obolibrary.org/obo/ENVO_00000447	habitat	http://purl.obolibrary.org/obo/RO_0002303
seamount	seamount	http://purl.obolibrary.org/obo/ENVO_00000264	habitat	http://purl.obolibrary.org/obo/RO_0002303
seaway	marine	http://purl.obolibrary.org/obo/ENVO_00000447	habitat	http://purl.obolibrary.org/obo/RO_0002303
sections of river	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
sections of stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
shallow marine sediment	shallow marine sediment	http://purl.obolibrary.org/obo/ENVO_03000034	habitat	http://purl.obolibrary.org/obo/RO_0002303
shingle beach	shingle beach	http://purl.obolibrary.org/obo/ENVO_00000545	habitat	http://purl.obolibrary.org/obo/RO_0002303
shore of a stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
shore of stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
shores of river	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
shores of stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
shrubland	shrubland	http://purl.obolibrary.org/obo/ENVO_01000176	habitat	http://purl.obolibrary.org/obo/RO_0002303
sides of mountains	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
sides of stream	riparian zone	https://www.wikidata.org/entity/Q13360049	habitat	http://purl.obolibrary.org/obo/RO_0002303
siliceous ooze	siliceous ooze	http://purl.obolibrary.org/obo/ENVO_02000044	habitat	http://purl.obolibrary.org/obo/RO_0002303
silty sediment	silty sediment	http://purl.obolibrary.org/obo/ENVO_01000119	habitat	http://purl.obolibrary.org/obo/RO_0002303
slope of the mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
slopes of mountain	montane	https://www.wikidata.org/entity/Q1141462	habitat	http://purl.obolibrary.org/obo/RO_0002303
snow field	snow field	http://purl.obolibrary.org/obo/ENVO_00000146	habitat	http://purl.obolibrary.org/obo/RO_0002303
solonchak	solonchak	http://purl.obolibrary.org/obo/ENVO_00002252	habitat	http://purl.obolibrary.org/obo/RO_0002303
solonetz	solonetz	http://purl.obolibrary.org/obo/ENVO_00002255	habitat	http://purl.obolibrary.org/obo/RO_0002303
spawning stream	river	http://purl.obolibrary.org/obo/ENVO_01000253	habitat	http://purl.obolibrary.org/obo/RO_0002303
speleothem	speleothem	http://purl.obolibrary.org/obo/ENVO_00000327	habitat	http://purl.obolibrary.org/obo/RO_0002303
sphagnum bog	sphagnum bog	http://purl.obolibrary.org/obo/ENVO_00002268	habitat	http://purl.obolibrary.org/obo/RO_0002303
sponge reef	sponge reef	http://purl.obolibrary.org/obo/ENVO_01000123	habitat	http://purl.obolibrary.org/obo/RO_0002303
spruce forest soil	spruce forest soil	http://purl.obolibrary.org/obo/ENVO_00005784	habitat	http://purl.obolibrary.org/obo/RO_0002303
